"vector_key","start_lat","start_lon","end_lat","end_lon","length_km","start_polygon_id","end_polygon_id","start_polygon_name","end_polygon_name","country","n_baseline","ndiff_mean","ndiff_med","ndiff_min","ndiff_max","ndiff_std","abs_ndiff_med","pct_chg_mean","pct_chg_med","pct_chg_min","pct_chg_max","pct_chg_std","abs_pct_chg_med","vector_name"
"PAK.2.1_1_PAK.2.1_1",27.4937731996419,65.7351376336426,27.4937731996419,65.7351376336426,0,"PAK.2.1_1","PAK.2.1_1","Kalat","Kalat","PK",3745.58333333333,240.791666666667,240.791666666667,88.4166666666667,393.166666666667,215.4907915666,240.791666666667,6.66020837641701,6.66020837641701,2.36055799052217,10.9598587623118,6.08062388919519,6.66020837641701,"Kalat - Kalat"
"PAK.2.1_1_PAK.2.4_1",27.4937731996419,65.7351376336426,29.3774454542667,64.3034688279768,251.92179673921,"PAK.2.1_1","PAK.2.4_1","Kalat","Quetta","PK",59.3333333333333,-12.4583333333333,-12.4583333333333,-14.0833333333333,-10.8333333333333,2.29809703885628,12.4583333333333,-17.65595414914,-17.65595414914,-18.2584269662921,-17.0534813319879,0.852025228977658,17.65595414914,"Kalat - Quetta"
"PAK.2.1_1_PAK.8.2_1",27.4937731996419,65.7351376336426,25.0787834487808,67.1859112898734,305.000718643367,"PAK.2.1_1","PAK.8.2_1","Kalat","Karachi","PK",225.583333333333,13.9583333333333,13.9583333333333,-24.5833333333333,52.5,54.506147716463,13.9583333333333,6.14056762330675,6.14056762330675,-10.8976727004064,23.1788079470199,24.0957105447672,6.14056762330675,"Kalat - Karachi"
"PAK.2.2_1_PAK.2.2_1",26.1148712479606,63.4598740647199,26.1148712479606,63.4598740647199,0,"PAK.2.2_1","PAK.2.2_1","Makran","Makran","PK",3317,417.228993030137,417.228993030137,230,604.457986060274,264.781781212678,417.228993030137,14.151962746591,14.151962746591,6.9339764847754,21.3699490084065,10.2077740644822,14.151962746591,"Makran - Makran"
"PAK.2.3_1_PAK.2.3_1",28.7829939153016,67.8281987215831,28.7829939153016,67.8281987215831,0,"PAK.2.3_1","PAK.2.3_1","Nasirabad","Nasirabad","PK",2376.16666666667,-249,-249,-400.833333333333,-97.1666666666666,214.724759220315,249,-10.5808487511093,-10.5808487511093,-17.0724781713637,-4.08921933085502,9.18055036802386,10.5808487511093,"Nasirabad - Nasirabad"
"PAK.2.3_1_PAK.8.3_1",28.7829939153016,67.8281987215831,27.8953345625544,68.348474529644,111.06291360635,"PAK.2.3_1","PAK.8.3_1","Nasirabad","Larkana","PK",48.9166666666667,-3.41666666666667,-3.41666666666667,-3.41666666666667,-3.41666666666667,,3.41666666666667,-6.98466780238501,-6.98466780238501,-6.98466780238501,-6.98466780238501,,6.98466780238501,"Nasirabad - Larkana"
"PAK.2.4_1_PAK.2.1_1",29.3774454542667,64.3034688279768,27.4937731996419,65.7351376336426,251.92179673921,"PAK.2.4_1","PAK.2.1_1","Quetta","Kalat","PK",53,3.54166666666667,3.54166666666667,0,7.08333333333334,5.00867303340471,3.54166666666667,6.75675675675676,6.75675675675676,0,13.5135135135135,9.55549704306146,6.75675675675676,"Quetta - Kalat"
"PAK.2.4_1_PAK.2.4_1",29.3774454542667,64.3034688279768,29.3774454542667,64.3034688279768,0,"PAK.2.4_1","PAK.2.4_1","Quetta","Quetta","PK",32499.25,2071.33333333333,2071.33333333333,719.916666666666,3422.75,1911.19177841704,2071.33333333333,6.35367119570456,6.35367119570456,2.17556088875905,10.5317815026501,5.90874026117314,6.35367119570456,"Quetta - Quetta"
"PAK.2.4_1_PAK.2.5_1",29.3774454542667,64.3034688279768,29.4883341470755,68.5700486683914,413.350676025831,"PAK.2.4_1","PAK.2.5_1","Quetta","Sibi","PK",19.4856023105084,0.514397689491566,0.514397689491566,0.514397689491566,0.514397689491566,,0.514397689491566,2.63988601067854,2.63988601067854,2.63988601067854,2.63988601067854,,2.63988601067854,"Quetta - Sibi"
"PAK.2.4_1_PAK.2.6_1",29.3774454542667,64.3034688279768,30.8799472504458,68.9666305805951,478.52444604174,"PAK.2.4_1","PAK.2.6_1","Quetta","Zhob","PK",45.5,-0.166666666666666,-0.166666666666666,-3.5,3.16666666666667,4.71404520791032,0.166666666666666,0.338868180277874,0.338868180277874,-7.69230769230769,8.37004405286344,11.3577978408141,0.338868180277874,"Quetta - Zhob"
"PAK.2.5_1_PAK.2.5_1",29.4883341470755,68.5700486683914,29.4883341470755,68.5700486683914,0,"PAK.2.5_1","PAK.2.5_1","Sibi","Sibi","PK",2709.33333333333,-166.083333333333,-166.083333333333,-185.833333333333,-146.333333333333,27.9307178568685,166.083333333333,-6.12011339649212,-6.12011339649212,-6.85900590551181,-5.38122088747243,1.04495180739153,6.12011339649212,"Sibi - Sibi"
"PAK.2.6_1_PAK.2.4_1",30.8799472504458,68.9666305805951,29.3774454542667,64.3034688279768,478.52444604174,"PAK.2.6_1","PAK.2.4_1","Zhob","Quetta","PK",33,1.875,1.875,-6.75,10.5,12.1975919754679,1.875,8.10562270099842,8.10562270099842,-15.606936416185,31.8181818181818,33.5346227020945,8.10562270099842,"Zhob - Quetta"
"PAK.2.6_1_PAK.2.6_1",30.8799472504458,68.9666305805951,30.8799472504458,68.9666305805951,0,"PAK.2.6_1","PAK.2.6_1","Zhob","Zhob","PK",3133.91666666667,-159.958333333333,-159.958333333333,-195.5,-124.416666666667,50.2635070293437,159.958333333333,-5.14638700936846,-5.14638700936846,-6.32276843467012,-3.9700055840668,1.6636545661854,5.14638700936846,"Zhob - Zhob"
"PAK.2.6_1_PAK.7.2_1",30.8799472504458,68.9666305805951,30.0224782853829,70.5493019194425,179.180410201686,"PAK.2.6_1","PAK.7.2_1","Zhob","Dera Ghazi Khan","PK",16.6666666666667,-0.666666666666667,-0.666666666666667,-0.666666666666667,-0.666666666666667,,0.666666666666667,-4,-4,-4,-4,,4,"Zhob - Dera Ghazi Khan"
"PAK.3.1_1_PAK.3.1_1",33.1700133050442,70.3861612705621,33.1700133050442,70.3861612705621,0,"PAK.3.1_1","PAK.3.1_1","F.A.T.A.","F.A.T.A.","PK",10823.5,-248.166666666667,-248.166666666667,-966.833333333334,470.5,1016.34814682546,248.166666666667,-2.42636813115175,-2.42636813115175,-9.19975894443035,4.34702268212685,9.57902115139193,2.42636813115175,"F.A.T.A. - F.A.T.A."
"PAK.3.1_1_PAK.5.1_1",33.1700133050442,70.3861612705621,32.6824702146471,70.7936087143096,66.2204153268445,"PAK.3.1_1","PAK.5.1_1","F.A.T.A.","Bannu","PK",19.1666666666667,-4.13629089255836,-4.13629089255836,-7.10591511845006,-1.16666666666667,4.19968285540774,4.13629089255836,-15.0443150700343,-15.0443150700343,-24.0016736183295,-6.08695652173914,12.6676179420376,15.0443150700343,"F.A.T.A. - Bannu"
"PAK.3.1_1_PAK.5.5_1",33.1700133050442,70.3861612705621,33.3240386522153,71.2456287788584,81.7395485002026,"PAK.3.1_1","PAK.5.5_1","F.A.T.A.","Kohat","PK",16.5833333333333,-0.130339408607437,-0.130339408607437,-6.67734548388154,6.41666666666667,9.25886478459168,0.130339408607437,8.28322662885066,8.28322662885066,-22.1270140789821,38.6934673366834,43.0065748440475,8.28322662885066,"F.A.T.A. - Kohat"
"PAK.3.1_1_PAK.5.6_1",33.1700133050442,70.3861612705621,35.6924113719009,72.2469303359298,328.299394961748,"PAK.3.1_1","PAK.5.6_1","F.A.T.A.","Malakand","PK",27.5,-6.20833333333333,-6.20833333333333,-10.4166666666667,-2,5.95148207498678,6.20833333333333,-16.522961574508,-16.522961574508,-25.7731958762887,-7.27272727272727,13.0818068047071,16.522961574508,"F.A.T.A. - Malakand"
"PAK.3.1_1_PAK.5.8_1",33.1700133050442,70.3861612705621,34.0135551823037,71.7920103750481,160.479478362178,"PAK.3.1_1","PAK.5.8_1","F.A.T.A.","Peshawar","PK",209,11,11,-44,66,77.7817459305202,11,8.268106162843,8.268106162843,-15.042735042735,31.5789473684211,32.9665077832541,8.268106162843,"F.A.T.A. - Peshawar"
"PAK.4.1_1_PAK.4.1_1",33.6692247086546,73.0666656755683,33.6692247086546,73.0666656755683,0,"PAK.4.1_1","PAK.4.1_1","Islamabad","Islamabad","PK",125296.583333333,10493.0416666667,10493.0416666667,8389.66666666667,12596.4166666667,2974.6214517565,10493.0416666667,8.20495750738109,8.20495750738109,6.35663476436961,10.0532802503926,2.61392309080947,8.20495750738109,"Islamabad - Islamabad"
"PAK.4.1_1_PAK.5.2_1",33.6692247086546,73.0666656755683,31.9373404910881,70.6290863322194,298.293083647168,"PAK.4.1_1","PAK.5.2_1","Islamabad","Dera Ismail Khan","PK",20.6666666666667,-6.16666666666667,-6.16666666666667,-6.16666666666667,-6.16666666666667,,6.16666666666667,-29.8387096774194,-29.8387096774194,-29.8387096774194,-29.8387096774194,,29.8387096774194,"Islamabad - Dera Ismail Khan"
"PAK.4.1_1_PAK.5.4_1",33.6692247086546,73.0666656755683,34.8412142650208,73.2243661662354,131.122933091476,"PAK.4.1_1","PAK.5.4_1","Islamabad","Hazara","PK",279.75,-21.5925193566417,-21.5925193566417,-36.9350387132834,-6.25000000000001,21.6975989551344,21.5925193566417,-10.1726580192382,-10.1726580192382,-18.1111784155989,-2.23413762287757,11.2267632097087,10.1726580192382,"Islamabad - Hazara"
"PAK.4.1_1_PAK.5.5_1",33.6692247086546,73.0666656755683,33.3240386522153,71.2456287788584,173.165147274174,"PAK.4.1_1","PAK.5.5_1","Islamabad","Kohat","PK",27.3560599284944,4.14394007150558,4.14394007150558,4.14394007150558,4.14394007150558,,4.14394007150558,15.1481612569111,15.1481612569111,15.1481612569111,15.1481612569111,,15.1481612569111,"Islamabad - Kohat"
"PAK.4.1_1_PAK.5.6_1",33.6692247086546,73.0666656755683,35.6924113719009,72.2469303359298,237.123992792063,"PAK.4.1_1","PAK.5.6_1","Islamabad","Malakand","PK",73.25,-19.2083333333333,-19.2083333333333,-21.1666666666667,-17.25,2.76950155964731,19.2083333333333,-29.8145167545765,-29.8145167545765,-36.0795454545455,-23.5494880546075,8.8600885561528,29.8145167545765,"Islamabad - Malakand"
"PAK.4.1_1_PAK.5.7_1",33.6692247086546,73.0666656755683,34.3054247124276,72.3623293245186,96.028198189944,"PAK.4.1_1","PAK.5.7_1","Islamabad","Mardan","PK",118.729965754782,0.385017122608827,0.385017122608827,-9.5,10.2700342452177,13.9795252790837,0.385017122608827,-1.29634716915202,-1.29634716915202,-11.2426035502959,8.64990921199182,14.0661306690536,1.29634716915202,"Islamabad - Mardan"
"PAK.4.1_1_PAK.5.8_1",33.6692247086546,73.0666656755683,34.0135551823037,71.7920103750481,123.79167028925,"PAK.4.1_1","PAK.5.8_1","Islamabad","Peshawar","PK",241.333333333333,15.4583333333333,15.4583333333333,-17.75,48.6666666666667,46.9636753838065,15.4583333333333,6.21997847768713,6.21997847768713,-7.72578890097932,20.1657458563536,19.7222933646104,6.21997847768713,"Islamabad - Peshawar"
"PAK.4.1_1_PAK.7.1_1",33.6692247086546,73.0666656755683,28.8489179399769,71.6377266783005,552.91526750134,"PAK.4.1_1","PAK.7.1_1","Islamabad","Bahawalpur","PK",22.4166666666667,-4.91666666666667,-4.91666666666667,-4.91666666666667,-4.91666666666667,,4.91666666666667,-21.9330855018587,-21.9330855018587,-21.9330855018587,-21.9330855018587,,21.9330855018587,"Islamabad - Bahawalpur"
"PAK.4.1_1_PAK.7.2_1",33.6692247086546,73.0666656755683,30.0224782853829,70.5493019194425,470.029104817092,"PAK.4.1_1","PAK.7.2_1","Islamabad","Dera Ghazi Khan","PK",18.4166666666667,-2.25,-2.25,-5.91666666666667,1.41666666666667,5.18544972870135,2.25,-11.2062055591467,-11.2062055591467,-32.1266968325792,9.71428571428572,29.5860424903962,11.2062055591467,"Islamabad - Dera Ghazi Khan"
"PAK.4.1_1_PAK.7.3_1",33.6692247086546,73.0666656755683,31.2099050851743,72.6237184341789,276.604452835558,"PAK.4.1_1","PAK.7.3_1","Islamabad","Faisalabad","PK",117.416666666667,-21.4583333333333,-21.4583333333333,-24.9166666666667,-18,4.89082190320695,21.4583333333333,-19.3908497637141,-19.3908497637141,-21.2207239176721,-17.5609756097561,2.5878328459634,19.3908497637141,"Islamabad - Faisalabad"
"PAK.4.1_1_PAK.7.4_1",33.6692247086546,73.0666656755683,32.3331628958553,74.0747512142852,175.806154316405,"PAK.4.1_1","PAK.7.4_1","Islamabad","Gujranwala","PK",237.166666666667,-17.25,-17.25,-47.8333333333333,13.3333333333333,43.2513647825772,17.25,-7.26628443626773,-7.26628443626773,-20.1544943820225,5.621925509487,18.2266812999982,7.26628443626773,"Islamabad - Gujranwala"
"PAK.4.1_1_PAK.7.5_1",33.6692247086546,73.0666656755683,31.2122490257376,73.94344561103,285.320542442313,"PAK.4.1_1","PAK.7.5_1","Islamabad","Lahore","PK",274.555114790729,-56.1942240620313,-56.1942240620313,-120.833333333333,8.44488520927068,91.4135049911918,56.1942240620313,-16.1622736431646,-16.1622736431646,-35.400390625,3.07584333867082,27.2068059502318,16.1622736431646,"Islamabad - Lahore"
